,Series_Title,Genre,Overview
185,Det sjunde inseglet,drama fantasi histori,man seek answer life death exist god play chess grim reaper black plagu
186,Du rififi chez les hommes,crime drama thriller,men plan technic perfect crime human element interven
187,Dial M for Murder,crime thriller,tenni player tri arrang wife murder learn affair
188,Tôkyô monogatari,drama,old coupl visit children grandchildren citi receiv littl attent
189,Rashômon,crime drama mysteri,rape bride murder samurai husband recal perspect bandit bride samurai ghost woodcutt
190,All About Eve,drama,seemingli timid secretli ruthless ingénu insinu live age broadway star circl theater friend
191,The Treasure of the Sierra Madre,adventur drama western,american search work mexico convinc old prospector help gold sierra madr mountain
192,To Be or Not to Be,comedi war,nazi occup poland act troup embroil polish soldier effort track german spi
193,The Gold Rush,adventur comedi drama,prospector goe klondik search gold find
194,Sherlock Jr.,action comedi romanc,film projectionist long detect put meagr skill work frame rival steal girlfriend father pocketwatch
195,Portrait de la jeune fille en feu,drama romanc,isol island brittani end eighteenth centuri femal painter oblig paint wed portrait young woman
196,Pink,drama thriller,young women implic crime retir lawyer step forward help clear name
197,Koe no katachi,anim drama famili,young man ostrac classmat bulli deaf girl point move away year later set path redempt
198,Contratiempo,crime drama mysteri,success entrepreneur accus murder wit prepar expert hour come impregn defens
199,Ah-ga-ssi,drama romanc thriller,woman hire handmaiden japanes heiress secretli involv plot defraud
200,Mommy,drama,widow singl mother rais violent son find new hope mysteri neighbor insert household
201,Haider,action crime drama,young man return kashmir father disappear confront uncl suspect play role father fate
202,Logan,action drama scifi,futur mutant nearli extinct elderli weari logan lead quiet life laura mutant child pursu scientist come help safeti
203,Room,drama thriller,held captiv year enclos space woman young son final gain freedom allow boy experi outsid world time
204,Relatos salvajes,comedi drama thriller,short stori explor extrem human behavior involv peopl distress
205,Soul,anim adventur comedi,land gig lifetim new york jazz pianist suddenli find trap strang land earth afterlif
206,Kis Uykusu,drama,hotel owner landlord remot turkish villag deal conflict famili tenant rent
207,PK,comedi drama music,alien earth lose devic use commun spaceship innoc natur childlik question forc countri evalu impact religion peopl
208,OMG: Oh My God!,comedi drama fantasi,shopkeep take god court shop destroy earthquak
209,The Grand Budapest Hotel,adventur comedi crime,writer encount owner age highclass hotel tell earli year serv lobbi boy hotel gloriou year except concierg
210,Gone Girl,drama mysteri thriller,wife disappear have focu intens media circu man see spotlight turn suspect innoc
211,Ôkami kodomo no Ame to Yuki,anim drama fantasi,werewolf lover unexpectedli die accid hunt food children young woman way rais werewolf son daughter keep trait hidden societi
212,Hacksaw Ridge,biographi drama histori,world war ii american armi medic desmond t doss serv battl okinawa refus kill peopl man american histori receiv medal honor fire shot
213,Inside Out,anim adventur comedi,young riley uproot midwest life move san francisco emot joy fear anger disgust sad conflict best navig new citi hous school
214,Barfi!,comedi drama romanc,young peopl learn love defin contain societi definit normal abnorm
215,12 Years a Slave,biographi drama histori,antebellum unit state solomon northup free black man upstat new york abduct sold slaveri
216,Rush,action biographi drama,merciless s rivalri formula rival jame hunt niki lauda
217,Ford v Ferrari,action biographi drama,american car design carrol shelbi driver ken mile battl corpor interfer law physic build revolutionari race car ford order defeat ferrari hour le man
218,Spotlight,biographi crime drama,true stori boston globe uncov massiv scandal child molest coverup local cathol archdioces shake entir cathol church core
219,Song of the Sea,anim adventur drama,ben young irish boy littl sister saoirs girl turn seal adventur free fairi save spirit world
220,Kahaani,mysteri thriller,pregnant woman search miss husband take london kolkata question deni have met
221,Zindagi Na Milegi Dobara,comedi drama,friend decid turn fantasi vacat realiti friend get engag
222,Prisoners,crime drama mysteri,keller dover daughter friend miss take matter hand polic pursu multipl lead pressur mount
223,Mad Max: Fury Road,action adventur scifi,postapocalypt wasteland woman rebel tyrann ruler search homeland aid group femal prison psychot worship drifter name max
224,A Wednesday,action crime drama,retir polic offic reminisc astound day career case file continu haunt memori case man wednesday
225,Gran Torino,drama,disgruntl korean war veteran walt kowalski set reform neighbor thao lor hmong teenag tri steal kowalski prize possess gran torino
226,Harry Potter and the Deathly Hallows: Part 2,adventur drama fantasi,harri ron hermion search voldemort remain horcrux effort destroy dark lord final battl rage hogwart
227,Okuribito,drama music,newli unemploy cellist take job prepar dead funer
228,Hachi: A Dog's Tale,biographi drama famili,colleg professor bond abandon dog take home
229,Mary and Max,anim comedi drama,tale friendship unlik pen pal mari lone eightyearold girl live suburb melbourn max fortyfouryear old sever obes man live new york
230,How to Train Your Dragon,anim action adventur,hapless young vike aspir hunt dragon unlik friend young dragon learn creatur assum
231,Into the Wild,adventur biographi drama,graduat emori univers student athlet christoph mccandless abandon possess give entir save account chariti hitchhik alaska live wilder way christoph encount seri charact shape life
232,No Country for Old Men,crime drama thriller,violenc mayhem ensu hunter stumbl drug deal gone wrong million dollar cash near rio grand
233,Lage Raho Munna Bhai,comedi drama romanc,munna bhai embark journey mahatma gandhi order fight corrupt properti dealer
234,Million Dollar Baby,drama sport,determin woman work harden box trainer profession
235,Hotel Rwanda,biographi drama histori,paul rusesabagina hotel manag hous thousand tutsi refuge struggl hutu militia rwanda africa
236,Taegukgi hwinalrimyeo,action drama war,brother forc fight korean war elder decid riskiest mission help shield younger battl
237,Before Sunset,drama romanc,year jess celin met encount french leg jess book tour
238,Munna Bhai M.B.B.S.,comedi drama music,gangster set fulfil father dream doctor
239,Salinui chueok,crime drama mysteri,small korean provinc detect struggl case multipl young women rape murder unknown culprit
240,Dil Chahta Hai,comedi drama romanc,insepar childhood friend just colleg come fall love wildli differ approach relationship creat tension
241,Kill Bill: Vol. 1,action crime drama,awaken fouryear coma assassin wreak vengeanc team assassin betray
242,Finding Nemo,anim adventur comedi,son captur great barrier reef taken sydney timid clownfish set journey bring home
243,Catch Me If You Can,biographi crime drama,bare frank skill forger pass doctor lawyer pilot fbi agent carl obsess track man revel pursuit
244,Amores perros,drama thriller,horrif car accid connect stori involv charact deal loss regret life harsh realiti love
245,"Monsters, Inc.",anim adventur comedi,order power citi monster scare children scream children toxic monster child get monster realiz thing think
246,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",anim action drama,concurr theatric end tv seri shin seiki evangerion
247,Lagaan: Once Upon a Time in India,adventur drama music,peopl small villag victorian india stake futur game cricket ruthless british ruler
248,The Sixth Sense,drama mysteri thriller,boy commun spirit seek help dishearten child psychologist
249,La leggenda del pianista sull'oceano,drama music romanc,babi boy discov ocean liner grow music prodigi set foot land
250,The Truman Show,comedi drama,insur salesman discov life actual realiti tv
251,"Crna macka, beli macor",comedi crime romanc,matko son zare live bank danub river hustl basic do make live order pay busi debt matko agre marri zare sister local gangster
252,The Big Lebowski,comedi crime sport,jeff dude lebowski mistaken millionair seek restitut ruin rug enlist bowl buddi help
253,Fa yeung nin wah,drama romanc,neighbor woman man form strong bond suspect extramarit activ spous agre bond platon commit similar wrong
254,Trainspotting,drama,renton deepli immers edinburgh drug scene tri clean despit allur drug influenc friend
255,Fargo,crime drama thriller,jerri lundegaard inept crime fall apart henchmen bungl persist polic work quit pregnant marg gunderson
256,Underground,comedi drama war,group serbian socialist prepar war surreal underground fill parti tragedi love hate
257,La haine,crime drama,hour live young men french suburb day violent riot
258,Dilwale Dulhania Le Jayenge,drama romanc,raj meet simran europ isnt love sight simran move india arrang marriag love make presenc felt
259,Before Sunrise,drama romanc,young man woman meet train europ wind spend even vienna unfortun know probabl night
260,Trois couleurs: Rouge,drama mysteri romanc,model discov retir judg keen invad peopl privaci
261,Chung Hing sam lam,comedi crime drama,melancholi hong kong policemen fall love mysteri femal underworld figur beauti ether server latenight restaur frequent
262,Jurassic Park,action adventur scifi,pragmat paleontologist visit complet theme park task protect coupl kid power failur caus park clone dinosaur run loos
263,In the Name of the Father,biographi crime drama,man coerc confess ira bomb did commit result imprison father english lawyer fight free
264,Ba wang bie ji,drama music romanc,boy meet opera train school peke result friendship span nearli year endur troublesom time china histori
265,Dà hóng denglong gaogao guà,drama histori romanc,young woman fourth wife wealthi lord learn live strict rule tension household
266,Dead Poets Society,comedi drama,maverick teacher john keat use poetri embolden board school student new height selfexpress
267,Stand by Me,adventur drama,death friend writer recount childhood journey friend bodi miss boy
268,Platoon,drama war,chri taylor neophyt recruit vietnam find caught battl will sergeant good evil shrewd examin brutal war dualiti man conflict
269,"Paris, Texas",drama,travi henderson aimless drifter miss year wander desert reconnect societi life famili
270,Kaze no tani no Naushika,anim adventur fantasi,warrior pacifist princess nausicaä desper struggl prevent war nation destroy die planet
271,The Thing,horror mysteri scifi,research team antarctica hunt shapeshift alien assum appear victim
272,Pink Floyd: The Wall,drama fantasi music,confin troubl rock star descend mad midst physic social isol
273,Fitzcarraldo,adventur drama,stori brian sweeney fitzgerald extrem determin man intend build opera hous middl jungl
274,Fanny och Alexander,drama,young swedish children experi comedi tragedi famili ekdahl
275,Blade Runner,action scifi thriller,blade runner pursu termin replic stole ship space return earth creator
276,The Elephant Man,biographi drama,victorian surgeon rescu heavili disfigur man mistreat scrape live sideshow freak monstrou façad reveal person kind intellig sophist
277,Life of Brian,comedi,born origin christma stabl door jesu christ brian nazareth spend life mistaken messiah
278,The Deer Hunter,drama war,indepth examin way vietnam war impact disrupt live peopl small industri town pennsylvania
279,Rocky,drama sport,smalltim boxer get suprem rare chanc fight heavyweight champion bout strive distanc selfrespect
280,Network,drama,televis network cynic exploit derang anchor rave revel news media profit
